"Suburb","Population"
"Silverleaves",259
"Simpson (Vic.)",549
"Skenes Creek",426
"Skipton",927
"Skye (Vic.)",7484
"Smeaton",279
"Smiths Beach",226
"Smiths Gully",391
"Smythes Creek",1428
"Smythesdale",849
"Snake Valley",587
"Soldiers Hill (Vic.)",2832
"Somers",1427
"Somerton (Vic.)",3
"Somerville (Vic.)",10730
"Sorrento (Vic.)",1448
"South Dudley",398
"South Geelong",907
"South Kingsville",1830
"South Melbourne",9317
"South Morang",20873
"South Purrumbete",267
"South Wharf",66
"South Yarra",19134
"Southbank",11235
"Spotswood",2339
"Spring Gully (Vic.)",2983
"Springbank",385
"Springhurst",315
"Springvale (Vic.)",19771
"Springvale South",12184
"St Albans (Vic.)",35091
"St Albans Park",4925
"St Andrews (Vic.)",1138
"St Andrews Beach",853
"St Arnaud",2619
"St Helena",2818
"St James (Vic.)",363
"St Kilda (Vic.)",17795
"St Kilda East",12576
"St Kilda West",2845
"St Leonards (Vic.)",2001
"Staghorn Flat",464
"Stanhope (Vic.)",915
"Stanley (Vic.)",324
"Stawell",6150
"Steels Creek",199
"Stony Creek (South Gippsland - Vic.)",446
"Stradbroke",340
"Stratford (Vic.)",2615
"Strath Creek",262
"Strathbogie",309
"Strathdale",5694
"Strathdownie",231
"Strathewen",147
"Strathfieldsaye",4648
"Strathmerton",941
"Strathmore (Vic.)",8111
"Strathmore Heights",934
"Streatham",298
"Strzelecki (Vic.)",246
"Sugarloaf Creek",315
"Sulky",294
"Sunbury",34030
"Sunset Strip (Vic.)",338
"Sunshine (Vic.)",8838
"Sunshine North",10637
"Sunshine West",16743
"Surf Beach (Vic.)",694
"Surrey Hills",13133
"Swan Hill",10431
"Swan Marsh",444
"Swan Reach (Vic.)",625
"Swanpool",512
"Swifts Creek",419
"Sydenham (Vic.)",10323
"Taggerty",330
"Talbot (Vic.)",715
"Talgarno",273
"Tallangatta",956
"Tallangatta South",238
"Tallangatta Valley",267
"Tallarook",789
"Tallygaroopna",573
"Tambo Upper",286
"Taminick",498
"Tangambalanga",436
"Tanjil Bren",15
"Tanjil South",698
"Taradale (Vic.)",464
"Tarnagulla",304
"Tarneit",21690
"Tarrawingee",484
"Tarrington",450
"Tarwin Lower",363
"Tatong",350
"Tatura",4448
"Tatura East",284
"Tatyoon",326
"Tawonga",588
"Tawonga South",838
"Taylor Bay",247
"Taylors Hill",11785
"Taylors Lakes",16095
"Tecoma",2088
"Teesdale (Vic.)",1480
"Telopea Downs",31
"Templestowe",16484
"Templestowe Lower",13152
"Tenby Point",370
"Terang",2348
"The Basin (Vic.)",4229
"The Gurdies",392
"The Patch",1038
"Thomastown",20331
"Thomson (Greater Geelong - Vic.)",1533
"Thornbury",17434
"Thornton (Vic.)",361
"Thorpdale",504
"Three Bridges",298
"Timboon",1255
"Tinamba",483
"Tol Tol",201
"Tolmie",547
"Tom Groggin",0
"Tongala",1869
"Tonimbuk",317
"Tooborac",405
"Toolamba",752
"Toolangi",289
"Toolern Vale",879
"Toolleen",352
"Toolondo",238
"Toongabbie (Vic.)",915
"Toora (Vic.)",887
"Toora North",261
"Tooradin",1359
"Toorak",12871
"Toorloo Arm",127
"Tootgarook",2696
"Torquay (Vic.)",10142
"Torrumbarry",283
"Tottenham (Vic.)",6
"Trafalgar (Vic.)",3621
"Trafalgar East",359
"Trafalgar South",195
"Tragowel",336
"Traralgon",23834
"Traralgon East",1864
"Traralgon South",467
"Travancore",1700
"Trawalla",394
"Tremont",0
"Trentham",1411
"Tresco",604
"Truganina",9138
"Tuerong",341
"Tullamarine",6271
"Tungamah",287
"Tyabb",3306
"Tyers",820
"Tylden",643
"Tynong",683
"Tynong North",417
"Tyntynder",234
"Tyntynder South",366
"Tyrendarra",266
"Ultima",333
"Undera",545
"Underbool",202
"Upper Ferntree Gully",3221
"Upper Gundowring",371
"Upper Plenty",323
"Upwey",6964
"Vectis",290
"Ventnor (Vic.)",835
"Venus Bay (Vic.)",589
"Vermont",9902
"Vermont South",11416
"Viewbank",6731
"Vinifera",272
"Violet Town",1084
"Waaia",376
"Wahgunyah",891
"Wahring",284
"Waldara",515
"Walkerville (Vic.)",207
"Wallan",8504
"Wallington",1292
"Walmer (Vic.)",253
"Walpa",104
"Walpeup",416
"Walwa",302
"Wandana Heights",1959
"Wandiligong",296
"Wandin East",440
"Wandin North",2911
"Wando Vale",301
"Wandong",1294
"Wangandary",366
"Wangaratta (Vic.)",17170
"Wangaratta South",576
"Wantirna",13768
"Wantirna South",17477
"Waranga Shores",300
"Warburton (Vic.)",2171
"Warncoort",276
"Warneet",466
"Warracknabeal",2745
"Warragul",14074
"Warragul South",390
"Warrandyte",5520
"Warrandyte South",648
"Warranwood",4791
"Warrenbayne",204
"Warrenheip",597
"Warrion",307
"Warrnambool",28413
"Warrong",249
"Wartook",319
"Watchem",454
"Waterford Park",203
"Waterways",2161
"Watsonia",5146
"Watsonia North",3846
"Wattle Bank",381
"Wattle Glen",1946
"Waubra",455
"Waurn Ponds",3995
"Wedderburn (Vic.)",980
"Wellsford",137
"Welshmans Reef",433
"Welshpool (Vic.)",439
"Wemen",280
"Wendouree",10596
"Werribee",37737
"Werribee South",1618
"Werrimull",320
"Wesburn",1178
"West Bendigo",355
"West Footscray",10222
"West Melbourne",3744
"West Wodonga",14058
"Westmeadows",5524
"Wharparilla",433
"Wheatsheaf",455
"Wheelers Hill",19105
"White Hills (Vic.)",3275
"Whiteheads Creek",373
"Whitfield (Vic.)",421
"Whittington",4155
"Whittlesea",4826
"Whorouly",519
"Wilby",270
"Wildwood",546
"Willaura",585
"Williams Landing",3223
"Williamstown (Vic.)",13203
"Williamstown North",1544
"Willow Grove",569
"Willowmavin",498
"Willung South",292
"Wilsons Promontory",14
"Wimbledon Heights",389
"Winchelsea",1955
"Winchelsea South",278
"Windermere (Vic.)",300
"Windsor (Vic.)",7069
"Winslow",298
"Winton (Vic.)",188
"Wodonga",16487
"Wollert",509
"Won Wron",192
"Wonga Park",3833
"Wonthaggi",4354
"Wood Wood",145
"Woodend (Vic.)",5413
"Woodend North",210
"Woodford (Vic.)",408
"Woodside (Vic.)",488
"Woodstock (Vic.)",337
"Woodvale (Vic.)",457
"Woolamai",189
"Woolsthorpe",510
"Woomelang",191
"Wooragee",335
"Woorarra West",209
"Woori Yallock",2806
"Woorinen",371
"Woorinen South",311
"Woorndoo",309
"Wunghnu",535
"Wurruk",1077
"Wy Yung",1710
"Wycheproof",789
"Wye River",236
"Wyndham Vale",17304
"Wyuna (Vic.)",359
"Yabba North",256
"Yackandandah",1854
"Yalca",301
"Yallambie",4129
"Yallourn",0
"Yallourn North",1493
"Yambuk",324
"Yan Yean",299
"Yanakie",382
"Yandoit",309
"Yannathan",213
"Yapeen",310
"Yarck",548
"Yarra Glen",2611
"Yarra Junction",2297
"Yarragon",1525
"Yarragon South",262
"Yarram",2168
"Yarrambat",1511
"Yarraville",13747
"Yarrawonga (Vic.)",7057
"Yarroweyah",528
"Yea",1595
"Yellingbo",515
"Yelta (Vic.)",281
"Yendon",270
"Yinnar",811
"Yinnar South",668
"Yulecart",357
"Yuroke",380
"Unclassified (Vic.)",0
"No Usual Address (Vic.)",8308
"Migratory - Offshore - Shipping (Vic.)",36
"Abergowrie",386
"Acacia Ridge",6945
"Acland",208
"Adare",642
"Adelaide Park",433
"Advancetown",352
"Aeroglen",403
"Agnes Water",1814
"Airlie Beach",909
"Airville",291
"Aitkenvale",4909
"Alabama Hill",103
"Albany Creek",15860
"Alberton (Qld)",576
"Albion (Brisbane - Qld)",1986
"Alderley",5679
"Aldershot",1043
"Alexandra (Qld)",388
"Alexandra Headland",3717
"Alexandra Hills",16728
"Algester",8262
"Alice River",2227
"Allandale (Qld)",254
"Allenstown",2911
"Alligator Creek (Mackay - Qld)",701
"Alligator Creek (Townsville - Qld)",1136
"Allora",1276
"Alloway",488
"Aloomba",433
"Alpha",571
"Alton Downs",1301
"Alva",212
"Amamoor",615
"Amberley",279
"Ambrose",545
"Amby",139
"Amiens",435
"Amity",348
"Andergrove",9372
"Annandale (Qld)",8974
"Annerley",10664
"Anstead",1527
"Antigua",278
"Apple Tree Creek",916
"Applethorpe",468
"Arafura Sea",0
"Araluen (Qld)",643
"Aramac",299
"Arana Hills",6313
"Aratula (Qld)",505
"Arcadia (Qld)",238
"Archerfield",510
"Arcturus",362
"Argoon (Qld)",295
"Armstrong Beach",533
"Armstrong Creek",373
"Aroona",3062
"Arriga",702
"Arundel",9575
"Ascot (Brisbane - Qld)",5730
"Ashfield (Qld)",446
"Ashgrove",12916
"Ashmore",11586
"Aspley",12594
"Atherton",7287
"Athol",277
"Atkinsons Dam",193
"Aubigny",386
"Auchenflower",5352
"Augathella",587
"Augustine Heights",1972
"Aurukun",1295
"Austinville",361
"Avenell Heights",5164
"Avoca (Qld)",5045
"Avondale (Qld)",620
"Ayr",8885
"Babinda (Qld)",1068
"Back Plains",518
"Badu Island",783
"Bahrs Scrub",1512
"Bajool",543
"Bakers Creek (Qld)",919
"Balberra",428
"Bald Hills (Qld)",5965
"Bald Knob",254
"Balgal Beach",849
"Ball Bay",628
"Ballandean",467
"Ballogie",432
"Balmoral (Qld)",3827
"Balmoral Ridge",281
"Balnagowan",389
"Bamaga",1046
"Bambaroo",450
"Banana",377
"Bangalee (Qld)",189
"Banksia Beach",5482
"Bannockburn (Qld)",460
"Banyo",5607
"Baralaba",479
"Barcaldine",1655
"Bardon",9256
"Baree",444
"Barellan Point",1103
"Bargara",6893
"Barlows Hill",770
"Barmaryee",783
"Barmoya",240
"Barney Point",1156
"Barrine",285
"Barron Gorge",0
"Bartle Frere",361
"Basalt (Qld)",229
"Basilisk",0
"Basin Pocket",861
"Battery Hill",2588
"Bauple",732
"Bauple Forest",7
"Bayview Heights",4150
"Beach Holm",19
"Beachmere",3888
"Beaconsfield (Qld)",4934
"Beatrice",248
"Beaudesert",5999
"Bedourie",283
"Beecher",939
"Beechmont",791
"Beenleigh",8244
"Beerburrum",600
"Beerwah",5945
"Belgian Gardens",1935
"Belivah",323
"Bell (Qld)",544
"Bellara",3157
"Bellbird Park",5031
"Bellbowrie",5413
"Bellenden Ker",475
"Belli Park",584
"Bellmere",5540
"Bells Bridge",196
"Bells Creek",317
"Belmont (Qld)",4594
"Belvedere",852
"Belyando",224
"Bemerside",497
"Benaraby",1261
"Benarkin North",271
"Benowa",7979
"Bentley Park",7420
"Berrinba",1382
"Berserker",7241
"Bethania",4590
"Biboohra",554
"Biddaddaba",458
"Biddeston",328
"Bidwill (Qld)",472
"Biggenden",682
"Biggera Waters",6338
"Bilinga",1662
"Biloela",5885
"Bilyana",319
"Bingil Bay",369
"Binjour",324
"Birkalla",297
"Birkdale",13796
"Birtinya",314
"Black Duck Creek",242
"Black Mountain (Qld)",1175
"Black River (Qld)",1522
"Blackall",1588
"Blackbutt (Qld)",1055
"Blackbutt North",388
"Blackrock",329
"Blacks Beach",2871
"Blackstone",1017
"Blackwater",5100
"Blanchview",229
"Blenheim",259
"Bli Bli",6283
"Bloomfield",403
"Bloomsbury",594
"Blue Mountain Heights",818
"Bluewater",696
"Bluewater Park",903
"Bluff",370
"Bohle",165
"Bohle Plains",2200
"Boigu Island",208
"Bokarina",1235
"Bollier",357
"Bollon",334
"Bondoola",494
"Bongaree",6524
"Bongeen",328
"Bonnie Doon (Qld)",321
"Bonogin",4182
"Booie",912
"Boompa",320
"Boonah (Qld)",2520
"Boondall",8748
"Boonooroo",337
"Booral (Qld)",1449
"Booroobin",292
"Booval",2688
"Booyal",340
"Boreen Point",264
"Boronia Heights",7604
"Bororen",417
"Bouldercombe",1132
"Boulia",230
"Bowen",10260
"Bowen Hills",1744
"Bowenville",362
"Boyland",715
"Boyne Island",4406
"Boyne Valley",379
"Boynewood",555
"Bracalba",162
"Bracewell",462
"Bracken Ridge",16799
"Braemeadows",315
"Braemore",249
"Bramston Beach",154
"Brandon",1267
"Branyan",3339
"Brassall",9245
"Bray Park (Qld)",10002
"Breddan",388
"Brendale",1847
"Bridgeman Downs",7445
"Bridges",201
"Brigalow",404
"Brighton (Qld)",9012
"Brightview",669
"Brinsmead",5234
"Brisbane City",7888
"Broadbeach",4614
"Broadbeach Waters",7534
"Broadwater (Qld)",353
"Bromelton",307
"Brookfield (Qld)",3702
"Brooklands",268
"Brookstead",305
"Brookwater",1466
"Brooloo",445
"Brooweena",263
"Broughton (Qld)",655
"Browns Plains (Qld)",5574
"Bucasia",4257
"Bucca (Qld)",996
"Buccan",1575
"Buddina",3666
"Buderim",27069
"Bulgun",199
"Bulimba",5941
"Bundaberg Central",226
"Bundaberg East",2810
"Bundaberg North",5484
"Bundaberg South",3424
"Bundaberg West",2529
"Bundall",4188
"Bundamba",5404
"Bungadoo",261
"Bungalow",2165
"Bungundarra",433
"Bungunya",189
"Bunya",1787
"Burbank",1137
"Burdell",2246
"Burketown",201
"Burleigh Heads",9188
"Burleigh Waters",13868
"Burnett Heads",2631
"Burnside (Qld)",1948
"Burpengary",12963
"Burpengary East",5762
"Burra Burri",206
"Burrum Heads",1737
"Burrum River",370
"Burua",675
"Bushland Beach",5659
"Buxton (Qld)",402
"Byellee",0
"Byfield",261
"Cabarlah",960
"Caboolture",21929
"Caboolture South",4853
"Cairns City",2180
"Cairns North",4444
"Calamvale",15291
"Calavos",288
"Calen",451
"Calico Creek",358
"Callemondah",51
"Calliope (Qld)",4206
"Caloundra",3558
"Caloundra West",4065
"Calvert (Qld)",281
"Cambooya",1298
"Cambroon",373
"Camira (Qld)",7391
"Camooweal",187
"Camp Creek (Qld)",505
"Camp Hill",10533
"Camp Mountain",1258
"Campaspe",455
"Campwin Beach",575
"Cania",0
"Canina",398
"Canningvale",215
"Cannon Hill",4507
"Cannon Valley",466
"Cannonvale",4886
"Canungra",1147
"Capalaba",16644
"Cape Cleveland",124
"Cape Conway",0
"Cape Tribulation",330
"Capella",926
"Captain Creek",391
"Captains Mountain",188
"Caravonica",1934
"Carbrook",1195
"Cardwell",1176
"Carina (Qld)",10301
"Carina Heights",6110
"Carindale",15577
"Carmila",398
"Carmoo",205
"Carole Park",3
"Carpendale",321
"Carrara",11569
"Carruchan",422
"Carseldine",8746
"Carters Ridge",401
"Cashmere",4651
"Castaways Beach",606
"Castle Hill (Qld)",1009
"Cawarral",726
"Cecil Plains",678
"Cedar Creek (Gold Coast - Qld)",832
"Cedar Creek (Moreton Bay - Qld)",634
"Cedar Grove",2020
"Cedar Pocket",420
"Cedar Vale",2971
"Centenary Heights",5878
"Chambers Flat",2464
"Chances Plain",311
"Chandler (Qld)",1422
"Chapel Hill (Qld)",10168
"Charleville",3728
"Charlwood",415
"Chatsworth (Qld)",1043
"Chelmer",2594
"Cherbourg",1226
"Chermside",8170
"Chermside West",6121
"Chevallum",438
"Chewko",415
"Childers (Qld)",1638
"Chillagoe",192
"Chinchilla",5487
"Churchable",285
"Churchill (Qld)",1783
"Chuwar",1875
"Cinnabar",268
"Clagiraba",561
"Clare (Qld)",310
"Clarendon (Qld)",378
"Clayfield",10006
"Clear Island Waters",3986
"Clear Mountain",707
"Clermont",3058
"Cleveland (Qld)",14414
"Clifton (Qld)",1375
"Clifton Beach (Qld)",2980
"Clinton (Qld)",5917
"Cloncurry",2796
"Clontarf (Moreton Bay - Qld)",7911
"Closeburn",507
"Cloyna",303
"Cluden",509
"Coalfalls",1073
"Coalstoun Lakes",423
"Coconuts",281
"Coen",416
"Coes Creek",1229
"Coleyville",392
"Collingwood Park (Qld)",6622
"Collinsville (Qld)",1501
"Colosseum",328
"Comet",529
"Cona Creek",226
"Condamine",426
"Condon",5866
"Conondale",799
"Conway",326
"Coochiemudlo Island",708
"Coochin",312
"Coochin Creek",151
"Cooee Bay",1255
"Cooktown",2339
"Coolabunia",277
"Coolana",174
"Coolangatta (Qld)",5193
"Coolmunda",290
"Cooloola",3
"Cooloola Cove",2513
"Cooloolabin",426
"Coolum Beach",7905
"Coombabah",9774
"Coomera",8793
"Coominya",1174
"Coonarr",221
"Coopers Plains",4208
"Cooran",1457
"Cooranga",286
"Cooroibah",1744
"Cooroy",3459
"Coorparoo",14944
"Coorumba",412
"Cootharaba",791
"Coowonga",260
"Cooya Beach",544
"Cooyar",281
"Coppabella (Qld)",616
"Coral Cove",1127
"Coral Sea (Gladstone - Qld)",110
"Coral Sea (Whitsunday - Qld)",0
"Cordalba",314
"Cordelia",232
"Corfield",380
"Corinda",4695
"Cornubia",6833
"Cotswold Hills",1211
"Cottonvale (Qld)",156
"Cow Bay",309
"Cowley Beach",220
"Cracow",196
"Craiglie",1032
"Craignish",1752
"Cranbrook (Qld)",6146
"Cranley",852
"Crediton",3
"Cremorne (Qld)",38
"Crestmead",11210
"Croftby",298
"Crohamhurst",203
"Crossdale",190
"Crossroads",423
"Crows Nest (Qld)",2039
"Croydon (Qld)",312
"Cullinane",525
"Cungulla",260
"Cunnamulla",1641
"Curra",1560
"Currajong",2628
"Currimundi",6615
"Currumbin",2785
"Currumbin Valley",1711
"Currumbin Waters",8883
"Cushnie",235
"D'Aguilar",830
"Daintree",146
"Daisy Hill (Qld)",6255
"Dajarra",429
"Dakabin",1447
"Dalby",12299
"Dalcouth",246
"Dallarnil",327
"Dalveen",346
"Dalysford",228
"Dargal Road",363
"Darling Heights",4923
"Darlington (Qld)",292
"Darra",3838
"Dauan Island",130
"Dayboro",1692
"Deagon",3460
"Deception Bay",19672
"Deebing Heights",1145
"Deepwater (Qld)",584
"Deeragun",3525
"Degilbo",338
"Delan",295
"Delaneys Creek",713
"Depot Hill",1064
"Deuchar",439
"Diamond Valley",288
"Dicky Beach",1758
"Didcot",287
"Diddillibah",1157
"Dimbulah",1414
"Dingo",342
"Dingo Beach",420
"Dingo Pocket",359
"Dinmore",907
"Dirranbandi",711
"Dolphin Heads",398
"Donnybrook (Qld)",461
"Doolandella",3105
"Doomadgee",1257
"Doonan",3142
"Douglas (Townsville - Qld)",7184
"Draper",653
"Drayton",1609
"Drewvale",3943
"Drillham",217
"Duaringa",478
"Duckinwilla",10
"Ducklo",566
"Dugandan",395
"Dulacca",249
"Dulong",540
"Dululu",139
"Dumbleton",296
"Dundathu",434
"Dundowran",970
"Dundowran Beach",1769
"Dunk",19
"Dunkeld (Qld)",310
"Dunnrock",258
"Dunwich",883
"Durack (Qld)",6177
"Durong",355
"Dutton Park",1471
"Dynevor",197
"Dysart (Qld)",3003
"Eagle Farm",0
"Eagleby",11971
"Earlville",3853
"East Barron",233
"East Brisbane",5598
"East Deep Creek",575
"East Feluga",356
"East Greenmount",493
"East Innisfail",1828
"East Ipswich",2194
"East Mackay",3636
"East Nanango",279
"East Palmerston",288
"East Toowoomba",5676
"East Trinity",111
"Eastern Heights",3735
"Eatons Hill",7993
"Ebbw Vale",526
"Ebenezer (Qld)",386
"Edens Landing",5177
"Edge Hill",3874
"Edmonton",9934
"Eerwah Vale",527
"Eidsvold",630
"Eidsvold West",203
"Eight Mile Plains",13379
"Eimeo",3309
"El Arish",442
"Elanora",11645
"Eli Waters",3153
"Elimbah",3721
"Ellangowan (Qld)",359
"Ellen Grove",2529
"Ellerbeck",301
"Ellesmere",491
"Elliott (Qld)",113
"Elliott Heads",998
"Emerald (Qld)",13884
"Emu Creek (Qld)",239
"Emu Park",2021
"Emu Vale",334
"England Creek",3
"Enoggera",5034
"Enoggera Reservoir",24
"Erakala",351
"Eromanga",400
"Erub Island",376
"Esk (Qld)",1755
"Etna Creek",551
"Eton",732
"Etty Bay",527
"Eubenangee",132
"Eudlo",1128
"Eukey",510
"Euleilah",342
"Eumamurrin",192
"Eumundi",1924
"Eungella (Qld)",422
"Euramo",329
"Eurimbula",15
"Euthulla",531
"Evans Landing",23
"Evelyn",330
"Everton Hills",5812
"Everton Park",8325
"Fairfield (Qld)",2554
"Fairney View",446
"Fairy Bower",116
"Farleigh",801
"Farnborough",567
"Federal (Qld)",320
"Felton",244
"Feluga",362
"Fernvale (Qld)",2367
"Ferny Grove",5609
"Ferny Hills",8721
"Fig Tree Pocket",3652
"Finch Hatton",535
"Fisher (Qld)",307
"Fishery Falls",284
"Fitzgerald Creek",195
"Fitzgibbon",3288
"Flagstone Creek",213
"Flametree",91
"Flaxton",884
"Flinders View",5862
"Flying Fish Point",419
"Forest Glen (Qld)",789
"Forest Hill (Qld)",730
"Forest Lake",22426
"Forestdale",2520
"Forrest Beach (Qld)",1233
"Forsayth",347
"Fortitude Valley",5615
"Fraser Island",194
"Fredericksfield",295
"Freestone",268
"Frenches Creek",218
"Frenchville",9159
"Freshwater (Qld)",2104
"Freshwater Point",239
"Gaeta",324
"Gailes",1646
"Garbutt",2482
"Gargett",494
"Garradunga",329
"Gatton",6869
"Gaven",1583
"Gayndah",1789
"Gaythorne",2655
"Geebung",4620
"Geham",441
"Georgetown (Qld)",243
"Gheerulla",232
"Gilston",1449
"Gin Gin (Qld)",1190
"Gindie",382
"Gindoran",3
"Giru",627
"Gladstone Central",1529
"Gladstone Harbour",139
"Glamorgan Vale",560
"Glan Devon",304
"Glass House Mountains",4791
"Glastonbury",433
"Glen Aplin",448
"Glen Eden",1969
"Glen Isla",220
"Glenaven",222
"Glencoe (Qld)",385
"Glendale (Qld)",562
"Glenden",1308
"Gleneagle",1311
"Glenella",4633
"Glenlee (Qld)",1240
"Glenore Grove",743
"Glenrae",236
"Glenvale",5405
"Glenview",1182
"Glenwood (Qld)",1259
"Godwin Beach",444
"Gogango",310
"Golden Beach (Qld)",5179
"Goldsborough (Qld)",713
"Gooburrum",1467
"Goodger",195
"Goodna",8777
"Goodwood (Qld)",393
"Goomboorian",463
"Goombungee",1032
"Goomburra",445
"Goomeri",787
"Goondi Bend",515
"Goondi Hill",503
"Goondiwindi",6397
"Goovigen",212
"Gordon Park",4015
"Gordonbrook",322
"Gordonvale",6214
"Gowrie Junction",1939
"Gowrie Mountain",256
"Gracemere",8401
"Graceville",4213
"Grand Secret",145
"Grandchester",504
"Grange (Qld)",4163
"Grantham",492
"Granville (Qld)",2689
"Grasstree Beach",989
"Green Hill",498
"Greenbank",7328
"Greenlands (Qld)",452
"Greenmount (Mackay - Qld)",469
"Greenmount (Toowoomba - Qld)",405
"Greens Creek (Qld)",309
"Greenslopes",8565
"Greenvale (Qld)",289
"Gregory River (Whitsunday - Qld)",325
"Griffin",2358
"Groomsville",444
"Grosmont",305
"Guanaba",798
"Gulliver",2991
"Gulngai",0
"Gumdale",950
"Gumlow",150
"Gunalda",419
"Guthalungra",222
"Gympie",10156
"Habana",925
"Haden",348
"Haigslea",414
"Halifax",431
"Haly Creek",235
"Hamilton (Qld)",4721
"Hamilton Plains",393
"Hampden (Qld)",589
"Hampton (Qld)",345
"Hannaford",322
"Happy Valley (Qld)",826
"Harlaxton",2689
"Harlin",534
"Harristown",8491
"Harrisville",427
"Hatton Vale",1138
"Hawkins Creek",119
"Hawthorne",4775
"Hay Point",1470
"Hazeldean",267
"Healy",1909
"Heathwood",1820
"Heatley",4215
"Helensvale",15987
"Helidon",1053
"Helidon Spa",621
"Hemmant",2594
"Hendon (Qld)",323
"Hendra",4417
"Herberton",934
"Heritage Park",4874
"Hermit Park",3521
"Herston",1831
"Hervey Range (Charters Towers - Qld)",445
"Hidden Valley (Qld)",613
"Highfields (Qld)",8012
"Highgate Hill",5824
"Highland Park",6561
"Highvale",1545
"Highworth",307
"Hillcrest (Qld)",5229
"Hinchinbrook (Qld)",0
"Hirstglen",236
"Hivesville",415
"Hodgson Vale",1274
"Holland Park",7849
"Holland Park West",5965
"Holloways Beach",2283
"Hollywell",2679
"Holmview",1395
"Home Hill",3027
"Homebush (Qld)",277
"Hope Island",8483
"Hope Vale",1005
"Horn",539
"Horse Camp",491
"Horse Creek",275
"Horseshoe Bay",538
"Horton",397
"Howard",1364
"Hoya",273
"Hudson",226
"Hughenden",1151
"Hunchy",524
"Hyde Park (Qld)",1426
"Iama Island",315
"Idalia",3595
"Ideraway",225
"Ilbilbie",314
"Ilfracombe",348
"Ilkley",684
"Illinbah",313
"Image Flat",462
"Imbil",942
"Inala",13796
"Indooroopilly",11670
"Ingham",4767
"Inglestone",312
"Inglewood (Qld)",1069
"Injinoo",474
"Injune",984
"Inkerman (Qld)",364
"Innes Park",2031
"Innisfail",1075
"Innisfail Estate",1375
"Innisplain",463
"Innot Hot Springs",321
"Inverlaw",288
"Inverness",276
"Ipswich",2536
"Ironbark (Qld)",846
"Irongate",220
"Ironpot (Rockhampton - Qld)",262
"Ironpot (South Burnett - Qld)",285
"Isis Central",346
"Isisford",214
"Isla",243
"Jacobs Well",1546
"Jamboree Heights",3057
"Jandowae",1246
"Jarvisfield",525
"Jensen",1372
"Jericho (Qld)",369
"Jerona",280
"Jimboomba",11387
"Jindalee (Qld)",5113
"Jondaryan",377
"Jones Hill",792
"Josephville",201
"Joyner",2766
"Jubilee Pocket",1690
"Julago",282
"Julatten",998
"Julia Creek",634
"Junabee",371
"Kaban",378
"Kabra",472
"Kaimkillenbun",566
"Kairi",460
"Kalbar",994
"Kalkie",2410
"Kallangur",18982
"Kalpowar",277
"Kamerunga",926
"Kandanga",532
"Kandanga Creek",294
"Kangaroo Point (Qld)",7000
"Kanigan",188
"Kanimbla (Qld)",2366
"Karalee",3684
"Karana Downs",3826
"Karara",278
"Karawatha",34
"Karrabin",474
"Karragarra Island",160
"Karumba",587
"Kawana",4657
"Kawungan",4704
"Kearneys Spring",7348
"Kedron",8594
"Kelsey Creek",263
"Kelso (Qld)",10202
"Kelvin Grove",6018
"Kenilworth",559
"Kenmore",8483
"Kenmore Hills",2577
"Kensington (Qld)",546
"Kensington Grove",1480
"Keperra",6652
"Kepnock",4533
"Keppel Sands",302
"Keriri Island",224
"Kerry",433
"Kewarra Beach",5299
"Kholo",397
"Kia Ora (Qld)",501
"Kianga (Qld)",363
"Kiels Mountain",657
"Kilcoy",1714
"Kilcummin",461
"Kilkivan",691
"Killarney (Qld)",984
"Kin Kin",694
"Kin Kora",2686
"King Scrub",497
"Kingaroy",9523
"Kings Beach",2528
"Kingsholme",281
"Kingsthorpe",1820
"Kingston (Qld)",10184
"Kinka Beach",629
"Kinkuna",188
"Kinnoul",219
"Kippa-Ring",9929
"Kirkwood",417
"Kirwan",21771
"Kleinton",710
"Koah",576
"Kobble Creek",499
"Kogan",355
"Koongal",4728
"Kooralbyn",1372
"Kooringal (Qld)",297
"Kooroomool",0
"Koumala",789
"Kowanyama",1031
"Kulangoor",405
"Kullogum",0
"Kuluin",2256
"Kumbia",352
"Kunda Park",23
"Kuraby",7777
"Kuranda",2966
"Kureelpa",851
"Kureen",121
"Kurrimine Beach",605
"Kurwongbah",1420
"Kuttabul",796
"Kybong",318
"Labrador",16402
"Laceys Creek",245
"Lagoon Pocket",316
"Laguna Quays",237
"Laidley",3518
"Laidley Heights",1405
"Laidley South",421
"Lake Barrine",160
"Lake Clarendon",462
"Lake Eacham",418
"Lake Macdonald",1129
"Lake Mary",233
"Lakefield",184
"Lakeland",227
"Lakes Creek",334
"Lamb Island",427
"Lamb Range",0
"Lammermoor",1316
"Landers Shoot",219
"Landsborough (Qld)",3729
"Lanefield",234
"Langshaw",299
"Larapinta (Qld)",0
"Laravale",266
"Laura (Qld)",80
"Lawes",304
"Lawgi Dawes",156
"Lawn Hill",381
"Lawnton",5356
"Leichhardt (Qld)",3384
"Leslie Dam",281
"Leyburn",416
"Limestone Creek",401
"Linthorpe",257
"Linville",431
"Lissner",1948
"Little Mountain",9045
"Little Mulgrave",233
"Loch Lomond",236
"Lockhart River",512
"Lockrose",553
"Lockyer Waters",513
"Logan Central",6172
"Logan Reserve",2154
"Logan Village",3586
"Loganholme",6124
"Loganlea",6172
"Lonesome Creek",232
"Long Pocket",279
"Longreach (Qld)",3356
"Lota",3255
"Low Isles",0
"Lower Beechmont",1003
