"Suburb","Population"
"Cumboogle",263
"Cumborah",360
"Cumnock",613
"Cundletown",2064
"Cunjurong Point",191
"Curl Curl",2415
"Curlewis (NSW)",969
"Curlwaa",413
"Currabubula",321
"Curramore (NSW)",228
"Currans Hill",5030
"Currarong",456
"Currawarna",226
"Daceyville",1164
"Daleys Point",588
"Dalgety",214
"Dalmeny",1932
"Dalton",108
"Dalwood (Ballina - NSW)",255
"Dandry",162
"Dangar Island",267
"Dapto",10735
"Darawank",325
"Darbys Falls",316
"Dareton",516
"Dargan",101
"Darkes Forest",260
"Darkwood",243
"Darling Point",3919
"Darlinghurst",10060
"Darlington (Singleton - NSW)",493
"Darlington (Sydney - NSW)",2243
"Darlington Point",1211
"Daruka",817
"Davidson",2417
"Davistown",2394
"Dawes Point",544
"Dean Park",3102
"Dee Why",19838
"Deepwater (NSW)",318
"Deer Vale",257
"Delegate",452
"Delroy Heights",470
"Delungra",555
"Denham Court",1590
"Denhams Beach",548
"Deniliquin",7494
"Denistone",3566
"Denistone East",2098
"Denistone West",911
"Denman",1801
"Deua River Valley",311
"Dharruk",2765
"Diamond Beach",849
"Dignams Creek",160
"Dolans Bay",554
"Dolls Point",1784
"Dolphin Point",214
"Dondingalong",688
"Doonbah",244
"Doonside",13087
"Dooralong",385
"Dora Creek",1671
"Dorrigo",1523
"Double Bay",4687
"Doubtful Creek",263
"Douglas Park",1273
"Dover Heights",3940
"Downside",419
"Doyalson",306
"Doyalson North",403
"Drake",395
"Drummoyne",11378
"Dubbo",32327
"Duckenfield",357
"Duckmaloi",196
"Dudley",2267
"Duffys Forest",436
"Dulguigan",320
"Dulwich Hill",12981
"Dumaresq Island",72
"Dunbible",329
"Dunbogan",962
"Dundas (NSW)",3880
"Dundas Valley",4628
"Dundee",206
"Dundurrabin",185
"Dunedoo",1253
"Dungay",316
"Dungog",2131
"Dungowan",524
"Dunmore (NSW)",264
"Dunoon",824
"Duns Creek",491
"Dural (Hornsby - NSW)",7357
"Duranbah",262
"Duri",534
"Durras North",288
"Dyers Crossing",340
"Eagle Vale",5706
"Eagleton",234
"Earlwood",16753
"East Albury",6247
"East Ballina",5320
"East Bowral",1581
"East Branxton",1727
"East Coraki",427
"East Corrimal",3159
"East Gosford",3908
"East Gresford",315
"East Hills",3274
"East Jindabyne",551
"East Kempsey",1320
"East Killara",2880
"East Kurrajong",2109
"East Lindfield",3628
"East Lismore",4988
"East Maitland",11014
"East Ryde",2337
"East Seaham",359
"East Tamworth",5212
"East Wagga Wagga",253
"Eastern Creek",799
"Eastgardens",808
"Eastlakes",6920
"Eastwood (NSW)",16193
"Eatonsville",397
"Ebenezer (NSW)",968
"Ebor",304
"Eden",3043
"Eden Creek",561
"Edensor Park",9440
"Edgecliff",1981
"Edgeworth",6252
"Edith (NSW)",221
"Edmondson Park",423
"Eglinton (NSW)",2109
"Elands",400
"Elanora Heights",3852
"Elderslie (Camden - NSW)",4252
"Eleebana",5498
"Elermore Vale",5186
"Elizabeth Bay",5093
"Elizabeth Beach",230
"Elizabeth Hills",0
"Ellalong",789
"Elland",555
"Ellangowan (NSW)",255
"Ellenborough",294
"Ellerslie (Wentworth - NSW)",378
"Ellis Lane",808
"Elrington",275
"Elsmore",567
"Eltham (NSW)",351
"Emerald Beach",2135
"Emerald Hill",256
"Emerton",2394
"Emmaville",697
"Empire Bay",2274
"Empire Vale",395
"Emu Heights (NSW)",3362
"Emu Plains",8097
"Enfield (NSW)",2697
"Engadine",16867
"Englorie Park",376
"Enmore (Marrickville - NSW)",3572
"Enngonia",210
"Epping (NSW)",20227
"Eraring",274
"Erina",4633
"Erina Heights",422
"Ermington",9470
"Erowal Bay",552
"Erskine Park",6668
"Erskineville",6848
"Eschol",338
"Eschol Park",2656
"Estella",1876
"Ettalong Beach",4628
"Ettrick (NSW)",230
"Euabalong",378
"Eugowra",914
"Eulah Creek",190
"Eulomogo",760
"Eumungerie",426
"Eungai Creek",377
"Eungai Rail",281
"Eungella (NSW)",285
"Eureka (NSW)",306
"Eurobodalla",218
"Euroka",323
"Euston",795
"Evans Head",2730
"Evans Plains",232
"Eveleigh",473
"Eviron",281
"Ewingar",252
"Ewingsdale",713
"Exeter (NSW)",831
"Failford",495
"Fairfield (NSW)",17032
"Fairfield East",5074
"Fairfield Heights",6649
"Fairfield West",10759
"Fairlight",5489
"Fairy Hill",298
"Fairy Meadow",6585
"Falls Creek (NSW)",951
"Far Meadow",286
"Farley",236
"Farmborough Heights",4181
"Fassifern (NSW)",621
"Faulconbridge",3990
"Faulkland",241
"Fawcetts Plain",374
"Federal (NSW)",712
"Fennell Bay",1474
"Fern Bay",1625
"Fernbank Creek",0
"Fernhill",1024
"Fernleigh",277
"Fernmount",376
"Fernvale (NSW)",238
"Ferodale",7
"Fiddletown",243
"Fifield",287
"Figtree",10629
"Fingal Bay",1503
"Fingal Head",544
"Finley",2509
"Firefly",489
"Fishermans Bay",0
"Fishermans Paradise",420
"Fishermans Reach",281
"Fishing Point",1044
"Fitzroy Falls",208
"Five Dock",8747
"Fletcher (NSW)",2730
"Flinders (NSW)",5200
"Floraville",1539
"Forbes (NSW)",7560
"Forest Hill (NSW)",2216
"Forest Lodge",2722
"Forest Reefs",465
"Forestville (NSW)",7835
"Forresters Beach",2496
"Forster (NSW)",13116
"Fosters Valley",188
"Fosterton",244
"Fountaindale",631
"Foxground",232
"Frazers Creek",391
"Frederickton",1277
"Freeburn Island",8
"Freemans Reach",2126
"Frenchs Forest",13192
"Freshwater (NSW)",8252
"Frogmore",382
"Fullerton Cove",300
"Galong",338
"Galston",2998
"Ganbenang",355
"Ganmain",614
"Garah",551
"Garden Suburb",1927
"Garra",186
"Gateshead",3574
"Geneva",576
"Georges Hall",8669
"Georges Plains",361
"Georgetown (NSW)",2005
"Georgica",246
"Gerogery",510
"Gerringong",3456
"Gerroa",757
"Geurie",894
"Giants Creek",196
"Gilead",349
"Gilgai",704
"Gilgandra",3143
"Gilgooma",176
"Gillenbah",405
"Gillieston Heights",1372
"Gilmore (NSW)",249
"Gin Gin (NSW)",157
"Girards Hill",1338
"Girilambone",220
"Girral",187
"Girraween (NSW)",4693
"Gladesville",10974
"Gladstone (NSW)",387
"Glebe (NSW)",11123
"Glen Alpine",4342
"Glen Davis",288
"Glen Innes",6135
"Glen Oak",328
"Glen William",233
"Glenbrook",4945
"Glencoe (NSW)",353
"Glendale (NSW)",3284
"Glendenning",5026
"Glendon Brook",285
"Glenfield (NSW)",7558
"Glenfield Park",5248
"Glenhaven",6101
"Gleniffer",416
"Glenmore Park",20273
"Glenning Valley",2050
"Glenorie",3405
"Glenquarry",249
"Glenreagh",862
"Glenridding",355
"Glenrock (NSW)",370
"Glenroy (Albury - NSW)",2949
"Glenroy (Tumbarumba - NSW)",330
"Glenthorne",263
"Glenugie",245
"Glenwood (NSW)",15325
"Glossodia",2856
"Gloucester",2878
"Gobarralong",199
"Gobbagombalin",360
"Gocup",166
"Godfreys Creek",164
"Gol Gol",1596
"Gollan",226
"Good Hope",0
"Goodnight",227
"Goodooga",338
"Googong",1122
"Goolgowi",286
"Goolhi",250
"Gooloogong",295
"Goonellabah",12537
"Goonengerry",572
"Goonumbla",350
"Gordon (NSW)",6592
"Gormans Hill",871
"Gorokan",7682
"Gosford",3392
"Goulburn",21092
"Grabben Gullen",476
"Grafton",10205
"Grahamstown",222
"Graman",196
"Grants Beach",13
"Granville (NSW)",13989
"Grasmere",1712
"Grattai",380
"Gravesend",322
"Grawlin",285
"Grays Point",2796
"Great Mackerel Beach",301
"Green Pigeon",315
"Green Point (Gosford - NSW)",6577
"Green Point (Great Lakes - NSW)",587
"Green Valley (NSW)",12380
"Greenacre",23213
"Greendale (Liverpool - NSW)",352
"Greenethorpe",320
"Greenfield Park",4755
"Greenhill (NSW)",685
"Greenleigh",713
"Greenridge",379
"Greenwell Point",1198
"Greenwich",5178
"Gregory Hills",15
"Greigs Flat",323
"Grenfell",2583
"Gresford",305
"Greta (NSW)",2483
"Greystanes",21703
"Griffith (NSW)",16972
"Grong Grong",391
"Grose Vale",1135
"Grose Wold",632
"Guildford (NSW)",19851
"Guildford West",4420
"Gulargambone",582
"Gulgong",2383
"Gulmarrad",1644
"Gum Flat",316
"Gumly Gumly",290
"Gumma",408
"Gundagai",1474
